timestamp,error_rate,active_requests,memory_usage,heap_usage,event_loop_lag,cpu_usage
2026-03-11 20:08:23,0,1,4280320,15404520,0.0174239,0.003690909090908886
2026-03-11 20:08:28,0,1,8151040,15702120,0.0426641,0.0031090909090907685
2026-03-11 20:08:33,0,1,10739712,15113480,0.0077428,0.003690909090908886
2026-03-11 20:08:38,0,1,9142272,15410904,0.0170858,0.003418181818181603
2026-03-11 20:08:43,0,1,9076736,15708272,0.0058652,0.003108695256967155
2026-03-11 20:08:48,0,1,3997696,15123056,0.016872,0.003102941443321277
2026-03-11 20:08:53,0,1,4349952,15418048,0.0638199,0.0033998763681318957
2026-03-11 20:08:58,0,1,8179712,15714592,0.0275954,0.0025474461851992185
2026-03-11 20:09:03,0,1,10629120,15129408,0.0255195,0.002581912069529597
2026-03-11 20:09:08,0,1,9932800,15426680,0.0113484,0.002854285974002171
2026-03-11 20:09:13,0,1,3977216,15725320,0.0160038,0.0025588907843633827
2026-03-11 20:09:18,0,1,10551296,15136896,0.2878309,0.0031271590123993663
2026-03-11 20:09:23,0,1,8880128,15434832,0.0409442,0.0031272727272725442
2026-03-11 20:09:28,0,1,8212480,15732576,0.0066484,0.0031090909090907685
2026-03-11 20:09:33,0,1,4083712,15145712,0.009317,0.0033996909371873563
2026-03-11 20:09:38,0,1,4014080,15440528,0.1985662,0.0028532485233982623
2026-03-11 20:09:43,0,1,8110080,15736552,0.1946155,0.00342509428118545
2026-03-11 20:09:48,0,1,10756096,15153160,0.0064931,0.003708956037962009
2026-03-11 20:09:53,0,1,8523776,15451160,0.0092681,0.003709090909090662
2026-03-11 20:09:58,0,1,8179712,15748720,0.0138848,0.00367272727272711
2026-03-11 20:10:03,0,1,7593984,15160360,0.0190572,0.003691244658605123
2026-03-11 20:10:08,0,1,8200192,15458208,0.0225565,0.0036975647073821745
2026-03-11 20:10:13,0,1,5025792,15750248,0.0086109,0.0036904393986217886
2026-03-11 20:10:18,0,1,4050944,15163264,0.24246,0.004254545454545228
2026-03-11 20:10:23,0,1,8155136,15454040,0.5623581,0.0039810943464822215
2026-03-11 20:10:28,0,1,5492736,15749792,0.0327225,0.003400309119010646
2026-03-11 20:10:33,0,1,9994240,15174792,0.2860117,0.0036930577790712554
2026-03-11 20:10:38,0,1,8679424,15469504,0.0237351,0.0036905735842194124
2026-03-11 20:10:43,0,1,8613888,15765872,0.0182206,0.0031077912872797243
2026-03-11 20:10:48,0,1,11444224,15182656,0.0507761,0.0033818181818180515
2026-03-11 20:10:53,0,1,6107136,15480256,0.0095419,0.003418057525180688
2026-03-11 20:10:58,0,1,4059136,15774704,0.0191857,0.0036905064902008644
2026-03-11 20:11:03,0,1,10678272,15163688,0.2338027,0.0042653598330154325
2026-03-11 20:11:08,0,1,9252864,15458136,0.0119234,0.004273426560709666
2026-03-11 20:11:13,0,1,8204288,15755704,0.0123806,0.003709090909090662
2026-03-11 20:11:18,0,1,10788864,15199352,0.0098964,0.003418679080593326
2026-03-11 20:11:23,0,1,9457664,15495736,0.0104301,0.003418181818181603
2026-03-11 20:11:28,0,1,3649536,15793544,0.0084503,0.003399999999999827
2026-03-11 20:11:33,0,1,10117120,15206000,0.0482126,0.003400309119010646
2026-03-11 20:11:38,0,1,7892992,15503528,0.0207317,0.0042748258235859845
2026-03-11 20:11:43,0,1,3645440,15801416,0.0092797,0.004272727272727133
2026-03-11 20:11:48,0,1,5398528,15214688,0.0537664,0.004545454545454416
2026-03-11 20:11:53,0,1,8372224,15510320,0.240886,0.003982252609375461
2026-03-11 20:11:58,0,1,7761920,15808088,0.0082229,0.0034060689956649593
2026-03-11 20:12:03,0,1,10125312,15222160,0.0105243,0.0028363636363636143
2026-03-11 20:12:08,0,1,4968448,15520104,0.0094046,0.003418181818181732
2026-03-11 20:12:13,0,1,7938048,15817408,0.1026401,0.003963780501109066
2026-03-11 20:12:18,0,1,10260480,15229168,0.0047243,0.003963636363636299
2026-03-11 20:12:23,0,1,10657792,15527312,0.007846,0.004545454545454416
2026-03-11 20:12:28,0,1,11010048,15824344,0.009261,0.00398109434648235
2026-03-11 20:12:33,0,1,10399744,15214552,0.0045972,0.0036891651219421503
2026-03-11 20:12:38,0,1,8511488,15512112,0.0053532,0.004544380419173392
2026-03-11 20:12:43,0,1,8249344,15803600,0.0066223,0.005108626488500895
2026-03-11 20:12:48,0,1,10227712,15241328,0.0043649,0.005690909090908876
2026-03-11 20:12:53,0,1,10412032,15539328,0.0059789,0.006251022151150933
2026-03-11 20:12:58,0,1,8323072,15837296,0.0127122,0.006254545454545218
2026-03-11 20:13:03,0,1,10194944,15252392,0.0085649,0.0056727272727271
2026-03-11 20:13:08,0,1,11403264,15550472,0.0057775,0.005399999999999816
2026-03-11 20:13:13,0,1,9764864,15848464,0.0051332,0.005962877451960455
2026-03-11 20:13:18,0,1,10338304,15258032,0.0303773,0.005399999999999816
2026-03-11 20:13:23,0,1,10715136,15556000,0.0060057,0.006255682851427295
2026-03-11 20:13:28,0,1,9687040,15853112,0.0044272,0.006233303650934801
2026-03-11 20:13:33,0,1,10629120,15245872,0.1547329,0.005110298797897535
2026-03-11 20:13:38,0,1,10985472,15543048,0.0035777,0.0036913789027692386
2026-03-11 20:13:43,0,1,11313152,15840296,0.0030822,0.0031090909090907685
2026-03-11 20:13:48,0,1,11702272,15253368,0.0027248,0.002837963215630477
2026-03-11 20:13:53,0,1,11214848,15550616,0.0034955,0.0031272727272725442
2026-03-11 20:13:58,0,1,9297920,15848552,0.0114815,0.003399999999999827
2026-03-11 20:14:03,0,1,13414400,15295728,0.0060441,0.003418181818181603
2026-03-11 20:14:08,0,1,13717504,15593792,0.0057666,0.0031458549269904827
2026-03-11 20:14:13,0,1,11661312,15891584,0.007284,0.0031271590123993663
2026-03-11 20:14:18,0,1,13017088,15303112,0.0123736,0.0031272727272725442
2026-03-11 20:14:23,0,1,12029952,15600960,0.0260868,0.0028390994958776943
2026-03-11 20:14:28,0,1,11763712,15899168,0.0036912,0.0031272727272725442
2026-03-11 20:14:33,0,1,10563584,15312632,0.0097661,0.003981818181817945
2026-03-11 20:14:38,0,1,10821632,15610712,0.0290043,0.003981818181817945
2026-03-11 20:14:43,0,1,11161600,15908800,0.0050247,0.004254545454545228
2026-03-11 20:14:48,0,1,11558912,15293520,0.0051502,0.005109090909090758
2026-03-11 20:14:53,0,1,10825728,15590912,0.0071621,0.005374495575541339
2026-03-11 20:14:58,0,1,8785920,15887040,0.0106023,0.0056727272727271
2026-03-11 20:15:03,0,1,10870784,15301232,0.0049765,0.005381818181818041
2026-03-11 20:15:08,0,1,10772480,15598792,0.0071127,0.006254318024798991
2026-03-11 20:15:13,0,1,11116544,15896264,0.0202211,0.005963636363636288
2026-03-11 20:15:18,0,1,11272192,15307832,0.002748,0.005963636363636288
2026-03-11 20:15:23,0,1,11481088,15605864,0.0043867,0.005963636363636288
2026-03-11 20:15:28,0,1,11612160,15903816,0.0095478,0.005963636363636288
2026-03-11 20:15:33,0,1,11558912,15316504,0.0047917,0.006254545454545347
2026-03-11 20:15:38,0,1,11108352,15614376,0.004592,0.005981600669066462
2026-03-11 20:15:43,0,1,11051008,15912352,0.0032144,0.005690909090908876
2026-03-11 20:15:48,0,1,11522048,15323584,0.0101035,0.005151719980269814
2026-03-11 20:15:53,0,1,11669504,15621680,0.0035998,0.004836363636363475
2026-03-11 20:15:58,0,1,11247616,15919768,0.0056684,0.005399999999999816
2026-03-11 20:16:03,0,1,11632640,15331864,0.0046596,0.004545785148010506
2026-03-11 20:16:08,0,1,11177984,15629464,0.0031833,0.003981818181817945
2026-03-11 20:16:13,0,1,11321344,15927456,0.00647,0.003999999999999721
2026-03-11 20:16:18,0,1,10690560,15338808,0.0078986,0.0048363636363633455
2026-03-11 20:16:23,0,1,10977280,15636800,0.0046881,0.0051090909090906285
2026-03-11 20:16:28,0,1,10924032,15934816,0.0042198,0.0053818181818179114
2026-03-11 20:16:33,0,1,11358208,15346944,0.002477,0.00509109422160782
2026-03-11 20:16:38,0,1,10969088,15644832,0.0034274,0.004527272727272511
2026-03-11 20:16:43,0,1,9891840,15942192,0.0042714,0.005667677886973251
2026-03-11 20:16:48,0,1,10444800,15353360,0.0653909,0.006818181818181689
2026-03-11 20:16:53,0,1,10813440,15650456,0.0030769,0.006254204316128105
2026-03-11 20:16:58,0,1,11321344,15948296,0.0112679,0.006235910115627889
2026-03-11 20:17:03,0,1,11042816,15361832,0.0030268,0.006818181818181689
2026-03-11 20:17:08,0,1,11415552,15659304,0.0032696,0.007090909090908972
2026-03-11 20:17:13,0,1,9969664,15957584,0.0042604,0.005961685266639934
2026-03-11 20:17:18,0,1,10895360,15368416,0.0181533,0.004836363636363604
2026-03-11 20:17:23,0,1,11276288,15665184,0.0040041,0.004563636363636321
2026-03-11 20:17:28,0,1,9879552,15963160,0.0035927,0.00485454545454538
2026-03-11 20:17:33,0,1,10366976,15398896,0.0039016,0.004836363636363604
2026-03-11 20:17:38,0,1,10752000,15696832,0.0049727,0.0036942002875288145
2026-03-11 20:17:43,0,1,11063296,15994056,0.0200614,0.0031272727272725442
2026-03-11 20:17:48,0,1,10407936,15384192,0.0042149,0.0034001854646615363
2026-03-11 20:17:53,0,1,10801152,15681632,0.0216748,0.004273038039129979
2026-03-11 20:17:58,0,1,11137024,15978400,0.0032241,0.003690909090909015
2026-03-11 20:18:03,0,1,11517952,15391720,0.0029033,0.004272727272727262
2026-03-11 20:18:08,0,1,10940416,15689688,0.003183,0.004274126077625395
2026-03-11 20:18:13,0,1,8228864,15987248,0.0054672,0.004271329383110972
2026-03-11 20:18:18,0,1,10076160,15399880,0.0080827,0.004836363636363604
2026-03-11 20:18:23,0,1,7925760,15697976,0.0075356,0.004816868126874499
